Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks
Sylhet,Loamy,44,Barren,60,29.1,Vegetables,Monsoon,24/01/2024,Low potential
Dhaka,Peaty,57,Agricultural,56,26.6,Tea,Summer,02/06/2024,Moderate potential
Rangpur,Loamy,89,Unused,264,20.4,Spices,Monsoon,05/09/2024,Moderate potential
Barishal,Peaty,43,Unused,230,29.6,Vegetables,Monsoon,03/10/2024,Low potential
Rangpur,Clay,74,Agricultural,215,26.1,Rice,Summer,29/08/2024,High potential
Dhaka,Loamy,84,Residential,264,25.6,Tea,Autumn,28/06/2024,Requires attention
Sylhet,Peaty,69,Unused,385,24.3,Maize,Summer,26/07/2024,Low potential
Dhaka,Sandy,84,Unused,55,33.6,Spices,Summer,01/04/2024,Low potential
Khulna,Peaty,71,Agricultural,274,31.3,Spices,Monsoon,07/05/2024,Low potential
Mymensingh,Peaty,66,Barren,79,21.2,Tea,Winter,24/01/2024,Moderate potential
Mymensingh,Silt,70,Barren,203,30.8,Maize,Winter,04/08/2024,Requires attention
Rangpur,Silt,44,Barren,301,25.3,Vegetables,Autumn,01/05/2024,High potential
Rajshahi,Loamy,97,Barren,239,32.9,Spices,Summer,27/04/2024,Moderate potential
Dhaka,Silt,87,Unused,332,26.5,Wheat,Summer,16/07/2024,High potential
Chattogram,Loamy,83,Residential,94,32.1,Jute,Summer,14/03/2024,Requires attention
Rangpur,Loamy,79,Agricultural,81,27.1,Rice,Winter,21/08/2024,Requires attention
Khulna,Silt,86,Barren,141,34.7,Rice,Winter,28/07/2024,Requires attention
Khulna,Clay,92,Agricultural,54,35,Tea,Winter,18/08/2024,Low potential
Mymensingh,Loamy,100,Unused,170,27.2,Maize,Autumn,27/10/2024,Low potential
Dhaka,Loamy,81,Agricultural,101,32.5,Spices,Autumn,31/10/2024,High potential
Chattogram,Peaty,58,Unused,357,21.3,Spices,Winter,08/10/2024,Low potential
Rangpur,Clay,93,Unused,93,31.1,Maize,Autumn,04/05/2024,Low potential
Dhaka,Loamy,89,Barren,250,25.6,Rice,Autumn,23/04/2024,Low potential
Rangpur,Silt,87,Unused,127,32.7,Spices,Monsoon,22/08/2024,Moderate potential
Chattogram,Loamy,46,Barren,154,26.2,Maize,Monsoon,02/03/2024,Moderate potential
Sylhet,Peaty,86,Unused,254,22.4,Jute,Winter,20/03/2024,Moderate potential
Khulna,Peaty,100,Agricultural,291,23.5,Jute,Autumn,11/07/2024,Requires attention
Khulna,Silt,88,Residential,147,23.6,Rice,Winter,06/10/2024,Moderate potential
Barishal,Sandy,41,Agricultural,320,28.7,Vegetables,Monsoon,29/12/2024,Moderate potential
Barishal,Sandy,68,Agricultural,186,32.9,Maize,Autumn,06/06/2024,Low potential
Rangpur,Peaty,93,Agricultural,210,23.3,Tea,Winter,29/12/2024,Moderate potential
Sylhet,Sandy,76,Agricultural,102,23.9,Rice,Summer,02/07/2024,Requires attention
Barishal,Loamy,97,Residential,79,21.2,Maize,Winter,20/04/2024,High potential
Chattogram,Clay,91,Residential,337,28,Spices,Summer,03/01/2024,Requires attention
Rajshahi,Clay,76,Barren,336,20.7,Spices,Summer,21/12/2024,High potential
Barishal,Clay,76,Agricultural,295,33.4,Wheat,Autumn,03/09/2024,Low potential
Mymensingh,Clay,44,Unused,270,30.8,Vegetables,Monsoon,16/04/2024,Moderate potential
Chattogram,Peaty,99,Residential,373,35,Maize,Autumn,04/07/2024,Requires attention
Khulna,Clay,75,Agricultural,166,33.6,Rice,Winter,05/10/2024,High potential
Chattogram,Sandy,43,Agricultural,277,28.1,Jute,Summer,06/12/2024,High potential
Rangpur,Peaty,56,Barren,160,27.9,Rice,Summer,05/01/2024,Low potential
Dhaka,Sandy,93,Residential,213,26.7,Maize,Summer,16/04/2024,High potential
Sylhet,Clay,79,Agricultural,292,30.4,Jute,Autumn,30/08/2024,Low potential
Sylhet,Peaty,79,Unused,366,26.2,Vegetables,Summer,27/03/2024,Low potential
Rajshahi,Silt,55,Agricultural,135,20.2,Spices,Winter,08/09/2024,Moderate potential
Chattogram,Loamy,60,Agricultural,285,20.5,Vegetables,Summer,11/03/2024,Low potential
Chattogram,Silt,76,Barren,53,23.2,Vegetables,Autumn,21/02/2024,Low potential
Mymensingh,Silt,41,Residential,108,34.3,Wheat,Winter,28/04/2024,High potential
Sylhet,Peaty,52,Agricultural,206,30.8,Tea,Monsoon,02/03/2024,Moderate potential
Mymensingh,Sandy,61,Unused,369,23.3,Wheat,Autumn,30/11/2024,Moderate potential
Khulna,Silt,91,Residential,64,27.6,Vegetables,Summer,01/03/2024,Requires attention
Mymensingh,Peaty,95,Agricultural,153,33.7,Vegetables,Winter,08/08/2024,Low potential
Chattogram,Silt,72,Residential,169,23.1,Wheat,Monsoon,24/06/2024,Moderate potential
Mymensingh,Sandy,40,Agricultural,272,23.8,Maize,Summer,10/02/2024,Moderate potential
Mymensingh,Silt,75,Residential,235,21,Vegetables,Autumn,20/09/2024,High potential
Barishal,Silt,50,Barren,318,21.9,Rice,Summer,14/08/2024,High potential
Rajshahi,Clay,100,Residential,115,20.6,Jute,Summer,26/07/2024,Low potential
Sylhet,Clay,56,Residential,225,31.9,Vegetables,Winter,08/11/2024,Moderate potential
Khulna,Loamy,62,Unused,355,33.5,Maize,Winter,17/04/2024,Requires attention
Mymensingh,Clay,75,Barren,278,24.1,Maize,Autumn,25/10/2024,Low potential
Khulna,Peaty,70,Residential,173,26.8,Wheat,Autumn,28/04/2024,Moderate potential
Mymensingh,Peaty,86,Unused,339,25,Jute,Monsoon,24/03/2024,Moderate potential
Khulna,Loamy,73,Barren,393,22.2,Tea,Monsoon,12/08/2024,Requires attention
Dhaka,Clay,92,Agricultural,304,28.1,Maize,Monsoon,22/02/2024,Moderate potential
Sylhet,Sandy,72,Barren,137,21.2,Wheat,Summer,17/03/2024,Requires attention
Rajshahi,Peaty,63,Agricultural,246,21.2,Maize,Winter,22/09/2024,Moderate potential
Barishal,Silt,55,Residential,323,30.7,Tea,Autumn,18/02/2024,Low potential
Mymensingh,Peaty,47,Agricultural,147,30.5,Maize,Summer,19/12/2024,Moderate potential
Khulna,Clay,77,Residential,224,24.7,Spices,Monsoon,19/07/2024,Requires attention
Barishal,Peaty,83,Residential,261,22.6,Rice,Winter,05/07/2024,Requires attention
Rangpur,Clay,96,Residential,326,21.3,Jute,Winter,18/08/2024,High potential
Rajshahi,Loamy,58,Agricultural,183,20.2,Rice,Monsoon,26/03/2024,Requires attention
Khulna,Sandy,99,Barren,275,22.4,Tea,Monsoon,04/11/2024,Low potential
Sylhet,Sandy,99,Residential,277,29.3,Rice,Autumn,07/04/2024,High potential
Sylhet,Clay,92,Barren,175,32.7,Tea,Autumn,31/07/2024,Low potential
Barishal,Peaty,51,Agricultural,260,34.1,Spices,Autumn,03/07/2024,Low potential
Mymensingh,Loamy,63,Barren,294,30.8,Rice,Monsoon,25/11/2024,Low potential
Dhaka,Loamy,56,Unused,370,29.3,Wheat,Winter,08/02/2024,High potential
Dhaka,Loamy,42,Residential,189,30.2,Wheat,Monsoon,08/08/2024,Low potential
Barishal,Clay,82,Barren,76,23.2,Jute,Autumn,29/06/2024,Moderate potential
Rangpur,Clay,94,Unused,57,26.7,Spices,Autumn,25/03/2024,Low potential
Sylhet,Loamy,98,Residential,75,29.4,Maize,Monsoon,17/08/2024,Requires attention
Barishal,Sandy,62,Unused,205,23.3,Tea,Monsoon,20/12/2024,Low potential
Khulna,Loamy,77,Barren,301,25.1,Spices,Summer,29/10/2024,Requires attention
Khulna,Sandy,84,Residential,287,29.7,Rice,Autumn,30/11/2024,Low potential
Sylhet,Sandy,75,Barren,142,21.9,Wheat,Autumn,20/01/2024,Moderate potential
Rangpur,Sandy,86,Residential,368,26.8,Jute,Autumn,28/07/2024,Requires attention
Khulna,Peaty,89,Barren,178,20.1,Maize,Winter,01/04/2024,Low potential
Mymensingh,Sandy,46,Barren,236,27.4,Jute,Winter,07/06/2024,High potential
Rajshahi,Silt,99,Agricultural,315,23.5,Rice,Autumn,08/07/2024,Requires attention
Barishal,Peaty,96,Agricultural,219,29.7,Rice,Summer,19/11/2024,Requires attention
Dhaka,Silt,83,Barren,184,27.6,Jute,Monsoon,29/10/2024,Moderate potential
Barishal,Peaty,48,Barren,139,28.4,Tea,Summer,15/12/2024,Moderate potential
Chattogram,Silt,58,Agricultural,171,24.8,Jute,Autumn,20/12/2024,Low potential
Barishal,Peaty,86,Agricultural,185,27.7,Wheat,Summer,26/01/2024,Moderate potential
Rajshahi,Loamy,46,Barren,303,24.2,Spices,Winter,18/04/2024,Low potential
Sylhet,Sandy,61,Barren,328,32.7,Jute,Autumn,04/08/2024,Moderate potential
Sylhet,Silt,100,Agricultural,204,21.2,Wheat,Autumn,23/08/2024,Low potential
Mymensingh,Peaty,88,Agricultural,263,27.9,Maize,Summer,13/08/2024,Requires attention
Dhaka,Loamy,61,Residential,391,33.8,Wheat,Monsoon,29/12/2024,Moderate potential
Khulna,Peaty,56,Residential,176,26.6,Vegetables,Autumn,29/09/2024,High potential
Rajshahi,Loamy,48,Residential,170,32.8,Tea,Autumn,09/09/2024,Requires attention
Khulna,Sandy,82,Residential,287,20.9,Vegetables,Autumn,23/09/2024,Moderate potential
Dhaka,Sandy,40,Barren,234,26,Tea,Monsoon,12/05/2024,High potential
Sylhet,Loamy,43,Residential,351,29.7,Rice,Autumn,11/05/2024,Requires attention
Mymensingh,Peaty,88,Agricultural,77,33,Tea,Winter,03/01/2024,Moderate potential
Dhaka,Loamy,89,Residential,263,27.3,Vegetables,Autumn,12/01/2024,Low potential
Dhaka,Peaty,56,Agricultural,340,27.8,Wheat,Monsoon,11/06/2024,High potential
Rajshahi,Silt,65,Residential,381,21.2,Tea,Autumn,30/03/2024,Moderate potential
Barishal,Peaty,90,Agricultural,66,27,Maize,Autumn,20/11/2024,Low potential
Rangpur,Silt,79,Residential,139,31.3,Tea,Winter,01/08/2024,High potential
Sylhet,Clay,88,Barren,239,32.5,Rice,Monsoon,10/07/2024,Requires attention
Mymensingh,Silt,65,Barren,238,32.1,Jute,Autumn,06/06/2024,Moderate potential
Dhaka,Loamy,74,Agricultural,180,25.8,Wheat,Autumn,13/02/2024,Requires attention
Rajshahi,Peaty,100,Residential,225,31.3,Wheat,Winter,27/03/2024,High potential
Rangpur,Sandy,89,Barren,346,20.9,Jute,Summer,19/04/2024,Moderate potential
Mymensingh,Clay,92,Unused,90,32,Tea,Monsoon,15/04/2024,Low potential
Khulna,Silt,70,Residential,62,29,Tea,Monsoon,04/01/2024,High potential
Barishal,Peaty,42,Residential,155,28.3,Tea,Winter,16/02/2024,Requires attention
Khulna,Clay,83,Unused,210,21.8,Jute,Autumn,03/07/2024,High potential
Mymensingh,Clay,99,Residential,395,20.9,Vegetables,Autumn,23/10/2024,Requires attention
Dhaka,Clay,43,Unused,231,32.4,Tea,Monsoon,25/08/2024,High potential
Rajshahi,Clay,55,Agricultural,271,32.8,Rice,Summer,03/08/2024,Moderate potential
Barishal,Peaty,98,Unused,179,25.3,Tea,Autumn,29/11/2024,High potential
Rajshahi,Peaty,69,Unused,357,27.1,Wheat,Summer,05/08/2024,Low potential
Barishal,Clay,97,Agricultural,243,33.2,Maize,Summer,25/12/2024,High potential
Chattogram,Peaty,93,Residential,260,23.3,Spices,Winter,04/04/2024,High potential
Barishal,Loamy,91,Agricultural,391,28.7,Tea,Winter,14/08/2024,Requires attention
Rajshahi,Loamy,73,Agricultural,254,28.7,Vegetables,Autumn,10/01/2024,Requires attention
Sylhet,Peaty,61,Barren,89,20.4,Tea,Summer,19/02/2024,Requires attention
Chattogram,Clay,100,Unused,66,32.5,Jute,Winter,15/03/2024,High potential
Mymensingh,Silt,82,Residential,279,23,Maize,Summer,04/02/2024,Low potential
Mymensingh,Sandy,49,Residential,236,23.6,Tea,Winter,30/11/2024,Moderate potential
Khulna,Peaty,55,Agricultural,77,21.8,Vegetables,Monsoon,23/08/2024,Low potential
Khulna,Peaty,71,Agricultural,389,23.5,Vegetables,Monsoon,01/02/2024,Requires attention
Sylhet,Silt,40,Residential,63,34.3,Maize,Summer,27/04/2024,Low potential
Barishal,Sandy,44,Residential,191,22.6,Maize,Monsoon,04/04/2024,Moderate potential
Rajshahi,Clay,54,Agricultural,372,23,Spices,Winter,09/06/2024,Moderate potential
Barishal,Loamy,68,Residential,289,24.7,Jute,Monsoon,24/05/2024,High potential
Barishal,Clay,87,Agricultural,300,24.1,Jute,Autumn,19/05/2024,High potential
Khulna,Clay,54,Barren,169,31.4,Rice,Autumn,20/09/2024,High potential
Barishal,Silt,66,Unused,362,27.6,Wheat,Winter,11/02/2024,Moderate potential
Sylhet,Peaty,97,Barren,225,31.7,Tea,Summer,16/04/2024,Low potential
Dhaka,Sandy,64,Unused,136,32.9,Rice,Winter,22/05/2024,Moderate potential
Barishal,Sandy,85,Unused,284,22.7,Vegetables,Autumn,22/05/2024,Requires attention
Barishal,Clay,44,Agricultural,316,27.1,Jute,Monsoon,29/04/2024,Moderate potential
Rajshahi,Sandy,88,Unused,52,20.9,Wheat,Summer,30/04/2024,High potential
Chattogram,Clay,67,Agricultural,282,22,Jute,Summer,01/01/2024,Requires attention
Khulna,Sandy,98,Agricultural,90,20.3,Rice,Winter,07/05/2024,High potential
Chattogram,Sandy,69,Barren,201,33,Maize,Summer,25/06/2024,Moderate potential
Chattogram,Silt,43,Barren,303,20.2,Rice,Autumn,30/05/2024,Moderate potential
Khulna,Clay,44,Barren,64,34.1,Vegetables,Autumn,22/02/2024,Moderate potential
Barishal,Loamy,92,Unused,212,26.2,Jute,Autumn,05/06/2024,High potential
Rangpur,Sandy,98,Unused,140,29.7,Maize,Autumn,12/04/2024,Moderate potential
Chattogram,Peaty,49,Unused,398,26.6,Tea,Winter,18/04/2024,Requires attention
Khulna,Loamy,84,Unused,316,24.6,Tea,Autumn,11/11/2024,Low potential
Dhaka,Clay,59,Barren,94,21.4,Vegetables,Monsoon,04/05/2024,High potential
Dhaka,Loamy,50,Agricultural,156,31.7,Spices,Autumn,04/07/2024,High potential
Khulna,Peaty,63,Barren,209,34,Tea,Summer,04/01/2024,High potential
Dhaka,Sandy,53,Residential,324,24,Wheat,Winter,09/12/2024,Moderate potential
Chattogram,Loamy,49,Unused,141,23.6,Rice,Autumn,26/05/2024,Moderate potential
Khulna,Loamy,53,Unused,137,31.1,Maize,Winter,05/07/2024,Requires attention
Chattogram,Peaty,58,Unused,136,20.5,Rice,Winter,07/01/2024,Moderate potential
Rangpur,Peaty,40,Unused,82,24.6,Jute,Monsoon,10/03/2024,Requires attention
Barishal,Silt,89,Unused,177,34.9,Vegetables,Summer,07/10/2024,Moderate potential
Khulna,Silt,80,Residential,325,31.1,Wheat,Monsoon,26/04/2024,Requires attention
Sylhet,Clay,73,Residential,388,20.5,Spices,Monsoon,30/09/2024,High potential
Dhaka,Loamy,79,Unused,236,25,Vegetables,Summer,01/07/2024,Requires attention
Barishal,Loamy,47,Unused,303,28.7,Wheat,Summer,22/10/2024,Low potential
Sylhet,Clay,87,Barren,106,28,Vegetables,Monsoon,03/09/2024,Low potential
Rangpur,Loamy,49,Unused,104,31.9,Tea,Monsoon,27/08/2024,Moderate potential
Chattogram,Loamy,56,Barren,260,32.4,Vegetables,Autumn,27/01/2024,High potential
Rangpur,Peaty,64,Barren,271,26,Maize,Winter,10/11/2024,Requires attention
Khulna,Peaty,69,Barren,168,23.8,Jute,Monsoon,26/03/2024,Requires attention
Khulna,Clay,96,Unused,344,33.5,Spices,Monsoon,22/10/2024,Low potential
Sylhet,Peaty,57,Residential,80,34.7,Jute,Summer,03/11/2024,Low potential
Barishal,Loamy,86,Agricultural,230,31.4,Rice,Winter,07/11/2024,Low potential
Barishal,Silt,68,Barren,240,23.2,Spices,Monsoon,14/08/2024,Moderate potential
Barishal,Loamy,78,Barren,63,23.7,Tea,Winter,17/09/2024,High potential
Rangpur,Silt,57,Barren,348,23.8,Spices,Winter,17/07/2024,Low potential
Khulna,Peaty,75,Agricultural,127,30.8,Wheat,Monsoon,24/09/2024,Requires attention
Dhaka,Loamy,56,Residential,298,28.1,Vegetables,Monsoon,22/08/2024,High potential
Dhaka,Sandy,59,Agricultural,98,34.3,Vegetables,Summer,16/07/2024,Moderate potential
Rangpur,Silt,62,Agricultural,161,31.8,Wheat,Monsoon,17/08/2024,Requires attention
Dhaka,Clay,42,Residential,124,31.5,Maize,Monsoon,01/02/2024,Low potential
Dhaka,Loamy,58,Agricultural,357,25.5,Wheat,Monsoon,14/05/2024,Moderate potential
Barishal,Loamy,83,Residential,122,24.3,Rice,Monsoon,08/05/2024,Moderate potential
Chattogram,Silt,84,Barren,174,27.9,Jute,Autumn,12/06/2024,High potential
Chattogram,Peaty,91,Agricultural,252,34.1,Maize,Summer,26/03/2024,Low potential
Dhaka,Silt,85,Barren,142,22.9,Maize,Monsoon,03/08/2024,Moderate potential
Rajshahi,Loamy,89,Unused,190,32.3,Vegetables,Summer,16/07/2024,Low potential
Sylhet,Clay,65,Unused,82,25.5,Vegetables,Autumn,08/08/2024,Moderate potential
Khulna,Silt,70,Unused,269,30.4,Vegetables,Winter,06/04/2024,High potential
Mymensingh,Loamy,65,Residential,394,31.9,,Summer,03/09/2024,Requires attention
Khulna,Sandy,40,Residential,179,20.1,,Monsoon,05/04/2024,Requires attention
Sylhet,Sandy,80,Barren,139,26.2,,Summer,04/09/2024,Low potential
Khulna,Sandy,88,Unused,374,30.1,,Summer,04/07/2024,Moderate potential
Sylhet,Silt,94,Residential,251,30.1,,Autumn,07/11/2024,Low potential
Dhaka,Sandy,55,Barren,376,22.4,,Winter,05/01/2024,Requires attention
Sylhet,Silt,78,Agricultural,185,29.4,,Monsoon,03/09/2024,High potential
Chattogram,Peaty,68,Residential,97,30.4,,Monsoon,03/03/2024,Moderate potential
Dhaka,Clay,88,Residential,80,29.9,Spices,Winter,22/10/2024,Requires attention
Dhaka,Sandy,54,Residential,81,23,Spices,Summer,07/08/2024,Moderate potential
Dhaka,Loamy,70,Residential,337,22.7,Wheat,Monsoon,21/04/2024,Low potential
Khulna,Sandy,94,Residential,384,25.4,Jute,Summer,15/01/2024,Requires attention
Mymensingh,Loamy,46,Barren,78,27.3,Maize,Autumn,17/09/2024,Moderate potential
Rangpur,Clay,99,Residential,131,30.7,Maize,Monsoon,14/02/2024,Low potential
Mymensingh,Clay,41,Barren,399,33.6,Vegetables,Winter,29/12/2024,Low potential
Dhaka,Silt,57,Barren,392,20.2,Jute,Monsoon,17/02/2024,Low potential
Mymensingh,Clay,41,Residential,115,28.4,Vegetables,Autumn,18/08/2024,Requires attention
Dhaka,Loamy,67,Barren,340,20.6,Spices,Autumn,23/10/2024,Moderate potential
Chattogram,Sandy,57,Agricultural,377,26,Maize,Monsoon,30/01/2024,Low potential
Sylhet,Silt,91,Agricultural,355,22.6,Vegetables,Summer,15/05/2024,High potential
Rangpur,Peaty,97,Residential,238,33.6,Spices,Monsoon,15/05/2024,Moderate potential
Rangpur,Peaty,79,Residential,192,21.1,Rice,Winter,07/08/2024,Requires attention
Sylhet,Clay,76,Unused,399,30.8,Vegetables,Monsoon,25/12/2024,Moderate potential
Rangpur,Peaty,64,Agricultural,52,23.4,Vegetables,Monsoon,31/07/2024,High potential
Sylhet,Silt,61,Agricultural,267,33,Wheat,Winter,01/05/2024,Low potential
Rangpur,Clay,66,Agricultural,90,24.9,Maize,Autumn,15/09/2024,Low potential
Dhaka,Clay,80,Unused,72,33.6,Maize,Autumn,22/12/2024,Requires attention
Khulna,Loamy,49,Agricultural,191,20.7,Vegetables,Winter,01/11/2024,High potential
Barishal,Peaty,52,Barren,169,23.4,Spices,Monsoon,03/07/2024,Requires attention
Dhaka,Loamy,84,Agricultural,250,29,Jute,Autumn,30/12/2024,Requires attention
Rajshahi,Silt,95,Agricultural,352,31.9,Wheat,Summer,25/05/2024,Requires attention
Rajshahi,Loamy,81,Barren,365,23.4,Maize,Winter,08/01/2024,Moderate potential
Mymensingh,Silt,93,Barren,78,22.4,Spices,Monsoon,22/06/2024,Moderate potential
Sylhet,Clay,83,Unused,276,30.5,Maize,Winter,13/12/2024,Moderate potential
Khulna,Peaty,76,Unused,297,34,Rice,Autumn,25/01/2024,Low potential
Chattogram,Peaty,70,Residential,236,30.8,Spices,Winter,04/10/2024,Low potential
Khulna,Sandy,79,Barren,399,25.8,Rice,Winter,07/09/2024,High potential
Dhaka,Silt,75,Barren,295,25.8,Tea,Summer,24/03/2024,Low potential
Mymensingh,Sandy,60,Residential,115,34,Vegetables,Monsoon,20/08/2024,Moderate potential
Sylhet,Loamy,65,Barren,60,23,Maize,Autumn,02/11/2024,High potential
Chattogram,Clay,70,Agricultural,112,33.9,Jute,Autumn,14/10/2024,Moderate potential
Dhaka,Silt,99,Unused,265,22.8,Vegetables,Autumn,12/08/2024,High potential
Rangpur,Sandy,53,Agricultural,299,21.2,Wheat,Winter,17/02/2024,Moderate potential
Khulna,Loamy,42,Residential,172,20.2,Wheat,Winter,27/01/2024,Requires attention
Barishal,Peaty,68,Unused,245,28.7,Rice,Autumn,04/10/2024,High potential
Rangpur,Clay,45,Unused,205,22.1,Maize,Autumn,15/10/2024,Low potential
Mymensingh,Sandy,74,Barren,52,23.4,Maize,Monsoon,22/02/2024,Moderate potential
Barishal,Silt,88,Barren,304,23.6,Vegetables,Summer,24/10/2024,Low potential
Barishal,Clay,94,Residential,306,20.5,Wheat,Autumn,05/07/2024,High potential
Dhaka,Sandy,60,Residential,320,30.4,Vegetables,Autumn,12/03/2024,Low potential
Chattogram,Sandy,76,Agricultural,222,32.2,Rice,Winter,11/01/2024,Requires attention
Khulna,Clay,92,Residential,367,29.5,Maize,Monsoon,21/03/2024,High potential
Chattogram,Sandy,47,Agricultural,290,23.5,Vegetables,Summer,21/04/2024,Moderate potential
Sylhet,Peaty,76,Unused,54,29.7,Spices,Autumn,17/10/2024,Requires attention
Dhaka,Loamy,96,Unused,374,34.5,Rice,Autumn,29/04/2024,High potential
Barishal,Sandy,80,Barren,153,29.2,Spices,Autumn,19/09/2024,High potential
Sylhet,Clay,67,Barren,333,21.9,Tea,Autumn,07/12/2024,Low potential
Sylhet,Loamy,69,Barren,153,23.5,Tea,Winter,26/09/2024,Low potential
Sylhet,Sandy,76,Unused,235,27.6,Spices,Monsoon,04/07/2024,Low potential
Khulna,Silt,66,Unused,163,29.2,Maize,Autumn,18/06/2024,Moderate potential
Mymensingh,Peaty,44,Residential,260,30.2,Wheat,Autumn,11/03/2024,High potential
Rangpur,Peaty,62,Unused,396,30.3,Wheat,Autumn,14/11/2024,Moderate potential
Rajshahi,Silt,99,Barren,71,20.2,Jute,Winter,17/10/2024,Requires attention
Barishal,Loamy,88,Barren,280,29.8,Vegetables,Monsoon,19/03/2024,High potential
Mymensingh,Peaty,96,Agricultural,157,26.5,Rice,Monsoon,05/06/2024,Moderate potential
Khulna,Loamy,56,Residential,300,21.8,Tea,Autumn,19/06/2024,Low potential
Rangpur,Sandy,71,Unused,330,29.7,Spices,Monsoon,02/06/2024,Moderate potential
Barishal,Loamy,57,Barren,88,25.1,Maize,Monsoon,09/07/2024,High potential
Barishal,Loamy,66,Barren,155,22.1,Vegetables,Winter,08/09/2024,High potential
Chattogram,Silt,52,Unused,158,34.9,Tea,Summer,26/12/2024,Moderate potential
Khulna,Loamy,71,Unused,349,26.1,Vegetables,Monsoon,19/07/2024,Requires attention
Chattogram,Sandy,68,Agricultural,92,29.8,Wheat,Winter,25/09/2024,Moderate potential
Chattogram,Loamy,89,Agricultural,133,27.3,Rice,Summer,12/09/2024,Low potential
Mymensingh,Loamy,91,Unused,186,22.1,Rice,Winter,24/04/2024,Moderate potential
Chattogram,Sandy,83,Barren,334,24.2,Maize,Winter,08/08/2024,High potential
Rajshahi,Loamy,97,Unused,312,26.8,Rice,Monsoon,29/03/2024,Low potential
Mymensingh,Peaty,82,Residential,106,22.1,Vegetables,Summer,18/05/2024,Low potential
Chattogram,Loamy,72,Barren,187,28.3,Spices,Monsoon,04/07/2024,Requires attention
Barishal,Loamy,57,Agricultural,266,26.7,Tea,Winter,21/12/2024,Moderate potential
Mymensingh,Loamy,81,Unused,137,23.3,Spices,Monsoon,05/06/2024,Low potential
Rajshahi,Sandy,86,Agricultural,141,25.7,Vegetables,Monsoon,11/09/2024,Moderate potential
Rangpur,Sandy,91,Unused,225,23.5,Wheat,Winter,17/08/2024,Moderate potential
Rangpur,Silt,63,Residential,376,33.3,Spices,Summer,02/04/2024,Requires attention
Dhaka,Clay,45,Unused,151,30.6,Jute,Autumn,25/05/2024,Low potential
Khulna,Loamy,99,Barren,209,21.2,Vegetables,Winter,30/05/2024,Low potential
Dhaka,Peaty,46,Agricultural,252,31,Maize,Monsoon,23/04/2024,Moderate potential
Chattogram,Peaty,71,Barren,80,30.2,Jute,Winter,27/06/2024,Moderate potential
Dhaka,Clay,56,Residential,109,33.1,Jute,Summer,16/05/2024,High potential
Sylhet,Peaty,64,Residential,271,34.5,Maize,Monsoon,15/01/2024,Moderate potential
Rajshahi,Loamy,41,Barren,69,20.1,Vegetables,Monsoon,14/12/2024,High potential
Sylhet,Loamy,70,Unused,368,32.7,Maize,Winter,18/03/2024,Low potential
Khulna,Peaty,52,Residential,319,33.6,Vegetables,Autumn,04/02/2024,High potential
Sylhet,Peaty,84,Unused,193,25.1,Rice,Summer,06/05/2024,Moderate potential
Chattogram,Loamy,53,Residential,213,34.7,Jute,Monsoon,09/02/2024,Low potential
Mymensingh,Loamy,57,Unused,308,21.7,Maize,Summer,06/07/2024,High potential
Rangpur,Loamy,84,Residential,127,28.6,Wheat,Autumn,26/10/2024,Requires attention
Rajshahi,Peaty,95,Barren,173,31,Maize,Autumn,25/11/2024,Requires attention
Chattogram,Clay,60,Unused,243,34.2,Wheat,Summer,04/12/2024,Requires attention
Chattogram,Sandy,62,Agricultural,69,29.1,Vegetables,Summer,20/04/2024,High potential
Dhaka,Peaty,69,Residential,167,29.8,Jute,Summer,13/06/2024,Low potential
Rangpur,Sandy,95,Agricultural,307,20.5,Jute,Monsoon,01/04/2024,Low potential
Rangpur,Loamy,69,Unused,298,26.4,Vegetables,Winter,27/05/2024,High potential
Khulna,Sandy,93,Barren,173,22.3,Maize,Monsoon,17/08/2024,Low potential
Rajshahi,Loamy,79,Agricultural,246,33.1,Rice,Winter,15/07/2024,Low potential
Rajshahi,Silt,97,Barren,374,22.3,Jute,Summer,17/11/2024,Moderate potential
Dhaka,Loamy,66,Residential,273,20.5,Maize,Winter,23/12/2024,Low potential
Khulna,Sandy,95,Barren,237,28.3,Rice,Winter,01/02/2024,Low potential
Mymensingh,Loamy,49,Unused,102,34.7,Jute,Summer,24/11/2024,Low potential
Sylhet,Silt,48,Agricultural,203,28.1,Maize,Summer,07/05/2024,Low potential
Rangpur,Clay,79,Unused,161,33.8,Vegetables,Winter,07/01/2024,Low potential
Rangpur,Sandy,40,Barren,222,24.1,Maize,Monsoon,25/06/2024,High potential
Rajshahi,Silt,54,Unused,192,21.7,Rice,Monsoon,01/07/2024,Low potential
Khulna,Peaty,81,Residential,233,34.1,Maize,Monsoon,14/05/2024,High potential
Barishal,Loamy,91,Residential,148,22.9,Maize,Autumn,18/02/2024,High potential
Rajshahi,Loamy,48,Residential,293,26,Wheat,Winter,27/05/2024,High potential
Sylhet,Clay,63,Residential,96,21.7,Tea,Summer,24/02/2024,Moderate potential
Rangpur,Silt,84,Agricultural,116,21.7,Tea,Autumn,13/08/2024,Low potential
Sylhet,Clay,50,Unused,165,33,Maize,Summer,11/09/2024,Low potential
Dhaka,Loamy,69,Barren,52,22.7,Jute,Summer,18/08/2024,Moderate potential
